Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007
"060750168023","Block Group 3, Census Tract 168.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"016802","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750168023","Block Group 3",,,,171328,657,229,344,15,69,0,0
"060750169001","Block Group 1, Census Tract 169, San Francisco County, California","ca","150","00",,,,"06","075",,,"016900","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750169001","Block Group 1",,,,,696,244,386,51,15,0,0
"060750169002","Block Group 2, Census Tract 169, San Francisco County, California","ca","150","00",,,,"06","075",,,"016900","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750169002","Block Group 2",,,,157143,506,339,135,23,0,0,9
"060750169003","Block Group 3, Census Tract 169, San Francisco County, California","ca","150","00",,,,"06","075",,,"016900","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750169003","Block Group 3",,,,197273,418,148,189,54,17,10,0
"060750170001","Block Group 1, Census Tract 170, San Francisco County, California","ca","150","00",,,,"06","075",,,"017000","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750170001","Block Group 1",,,,250001,437,70,258,109,0,0,0
"060750170002","Block Group 2, Census Tract 170, San Francisco County, California","ca","150","00",,,,"06","075",,,"017000","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750170002","Block Group 2",,,,231103,389,52,182,151,4,0,0
"060750170003","Block Group 3, Census Tract 170, San Francisco County, California","ca","150","00",,,,"06","075",,,"017000","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750170003","Block Group 3",,,,245714,774,198,392,160,24,0,0
"060750170004","Block Group 4, Census Tract 170, San Francisco County, California","ca","150","00",,,,"06","075",,,"017000","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750170004","Block Group 4",,,,223929,546,92,309,145,0,0,0
"060750171011","Block Group 1, Census Tract 171.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017101","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171011","Block Group 1",,,,233214,548,117,224,162,29,9,7
"060750171012","Block Group 2, Census Tract 171.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017101","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171012","Block Group 2",,,,250001,590,68,278,197,47,0,0
"060750171013","Block Group 3, Census Tract 171.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017101","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171013","Block Group 3",,,,135000,638,264,253,111,10,0,0
"060750171021","Block Group 1, Census Tract 171.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017102","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171021","Block Group 1",,,,225278,506,124,256,124,2,0,0
"060750171022","Block Group 2, Census Tract 171.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017102","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171022","Block Group 2",,,,167685,328,103,142,49,34,0,0
"060750171023","Block Group 3, Census Tract 171.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017102","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750171023","Block Group 3",,,,175217,704,213,346,145,0,0,0
"060750176021","Block Group 1, Census Tract 176.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017602","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176021","Block Group 1",,,,150508,719,427,280,2,0,0,10
"060750176022","Block Group 2, Census Tract 176.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017602","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176022","Block Group 2",,,,90101,601,399,103,99,0,0,0
"060750176023","Block Group 3, Census Tract 176.02, San Francisco County, California","ca","150","00",,,,"06","075",,,"017602","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176023","Block Group 3",,,,14286,214,185,29,0,0,0,0
"060750176031","Block Group 1, Census Tract 176.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017603","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176031","Block Group 1",,,,,526,446,80,0,0,0,0
"060750176032","Block Group 2, Census Tract 176.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017603","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176032","Block Group 2",,,,,327,242,85,0,0,0,0
"060750176033","Block Group 3, Census Tract 176.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017603","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176033","Block Group 3",,,,,508,335,173,0,0,0,0
"060750176034","Block Group 4, Census Tract 176.03, San Francisco County, California","ca","150","00",,,,"06","075",,,"017603","4",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176034","Block Group 4",,,,193309,1015,442,371,129,47,26,0
"060750176041","Block Group 1, Census Tract 176.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017604","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176041","Block Group 1",,,,141944,624,358,225,41,0,0,0
"060750176042","Block Group 2, Census Tract 176.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017604","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176042","Block Group 2",,,,103841,983,619,258,106,0,0,0
"060750176043","Block Group 3, Census Tract 176.04, San Francisco County, California","ca","150","00",,,,"06","075",,,"017604","3",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750176043","Block Group 3",,,,51325,568,538,7,23,0,0,0
"060750177001","Block Group 1, Census Tract 177, San Francisco County, California","ca","150","00",,,,"06","075",,,"017700","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750177001","Block Group 1",,,,227143,254,112,123,11,8,0,0
"060750177002","Block Group 2, Census Tract 177, San Francisco County, California","ca","150","00",,,,"06","075",,,"017700","2",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750177002","Block Group 2",,,,146500,920,333,435,152,0,0,0
"060750178011","Block Group 1, Census Tract 178.01, San Francisco County, California","ca","150","00",,,,"06","075",,,"017801","1",,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1500000US060750178011","Block Group 1",,,,15466,822,638,161,23,0,0,0
