OBJECTID,GF_SEQ_ID,BATCH_ID,ACTION,LAMP_1_ACTION,LAMP_2_ACTION,LAMP_3_ACTION,ASSETNUM,POLE_TYPE,POLE_NUMBER,POLE_OWNER,ARM_LENGTH,MATERIAL,MATERIAL_REF_ID,POSITION_X,POSITION_Y,L1_WATT,L1_TYPE,L1_LUMINAIRE,L1_SIDE,L1_RTI_ID,L2_WATT,L2_TYPE,L2_LUMINAIRE,L2_SIDE,L2_RTI_ID,L3_WATT,L3_TYPE,L3_LUMINAIRE,L3_SIDE,L3_RTI_ID,STREET_NAME,STREET_TYPE,STREET_ADDRESS,STREET_BLOCK,ASSESSOR_PARCEL_NUMBER,PROJECT,NOTES,STATUS,DISTRICT,NEIGHBORHOOD,EQUIPMENT_ACCEPT_DT,ASSET_DATA_INTEGRATION_DT,EQUIPMENT_CHANGE_DT,EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_DT,CALC_EQUIPMENT_CHANGE_DT,CALC_EQUIPMENT_REMOVE_DT,CALC_EQUIPMENT_ACCEPT_IP_ID,CALC_EQUIPMENT_CHANGE_IP_ID,CALC_EQUIPMENT_REMOVE_IP_ID,CALC_DATA_INTEGRATION_DT,GLOBALID,CreationDate,Creator,EditDate,Editor,geometryType,x,y,crs,Longitude,Latitude
168714,14651,1279,none,none,none,none,J06P0046,SL-RndSteel,14,,,Steel,,5994422.7818,2105343.2864,100,HP,Lumec Post Top,R,5049,,,,,,,,,,,KIRKHAM,ST,130,100.0,1800.0,UGD-327 Inner Sunset/Ph 2,,ACTIVE,5.0,Neighborhood),1146744060000.0,,,,,,,,,,,e5445590-0758-4221-b35b-6ae5ad02c493,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5994422.781875,2105343.28625,102643,53.84881604432573,18.578243414049197
168715,14794,1279,none,none,none,none,J07P0109,SL-StdSteel,121,,,Steel,,5997405.1784,2105732.7533,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1215,1200.0,2600.0,LED Slight Conversion from Outage List..,,ACTIVE,7.0,Neighborhood),,,1504785660000.0,,,,,,,,,55fd8d90-6361-405f-8152-7a84b37a03ff,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997405.178125,2105732.753125,102643,53.87560736567248,18.581559706203247
168716,14795,1279,none,none,none,none,J07P0110,SL-StdSteel,122,,,Steel,,5997508.7063,2105342.1058,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1254/1250,1200.0,1200.0,LED SLight Conversion by Grid..,,ACTIVE,5.0,Neighborhood),,,1506686460000.0,,,,,,,,,8e7e897f-5ebd-45a1-ad84-8cffd47b0a1b,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997508.70625,2105342.105625,102643,53.87653737464272,18.578233360984665
168717,14796,1279,none,none,none,none,J07P0111,SL-StdSteel,123,,,Steel,,5997421.5114,2105618.6716,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1227/1225,1200.0,2600.0,LED SLight Conversion by Grid..,,ACTIVE,7.0,Neighborhood),,,1506686460000.0,,,,,,,,,3a568e62-5fda-4261-8176-f11e9b34cd41,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997421.51125,2105618.671875,102643,53.875754088630735,18.58058831639785
168718,14797,1279,none,none,none,none,J07P0112,SL-StdSteel,124,,,Steel,,5997551.6418,2105034.5518,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1288/1284,1200.0,1200.0,LED SLight Conversion by Grid..,,ACTIVE,5.0,Neighborhood),,,1506686460000.0,,,,,,,,,22b8be65-66c9-46a3-91ae-55924e12ed3c,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997551.641875,2105034.551875,102643,53.87692307192442,18.57561450949852
168719,14798,1279,none,none,none,none,J07P0113,SL-StdSteel,125,,,Steel,,5997443.6085,2105464.3285,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1243,1200.0,2600.0,LED SLight Conversion by Grid..,,ACTIVE,7.0,Neighborhood),,,1506686460000.0,,,,,,,,,a69936ba-aa98-474c-b537-fe308ccf44f6,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997443.60875,2105464.32875,102643,53.87595259385064,18.579274092163697
168720,14799,1279,none,none,none,none,J07P0114,SL-StdSteel,127,,,Steel,,5997479.2725,2105215.2249,54,LED,RoadFocus,R,5711,,,,,,,,,,,STANYAN,ST,1269,1200.0,2600.0,LED SLight Conversion by Grid..,,ACTIVE,7.0,Neighborhood),,,1506686460000.0,,,,,,,,,6894a096-73fa-4d7a-90c1-6705ff863289,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5997479.2725,2105215.225,102643,53.87627296676778,18.577152964422982
168721,14800,1279,none,none,none,none,J07P0115,SL-StdSteel,12,,,Steel,,5998969.3747,2105373.4498,54,LED,RoadFocus,R,5711,,,,,,,,,,,TWIN_PEAKS,BLVD,,100.0,1200.0,LED SLight Conversion by Grid..,,ACTIVE,5.0,Neighborhood),,,1506513660000.0,,,,,,,,,0752c0f8-ceaa-4bd3-a8d3-793d53a89902,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,5998969.375,2105373.45,102643,53.88965878527433,18.578500259269205
168722,14297,1279,none,none,none,none,I13P0222,SL-RndSteel,511,,,Steel,,6016009.1901,2106362.6315,100,MH,Lumec TDrop,R,5062,,,,,,,,,,,ILLINOIS,ST,,400.0,,MB-Blocks 33-34 (Illinois & Mariposa Sts.),"Determination of Completeness..
(DOC 2021Feb02)",PENDING,6.0,Neighborhood),1612267260000.0,1620388860000.0,,,,,,,,,,ee751cb5-cf38-4ee8-b8d1-ce0b6c6b3ec2,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6016009.19,2106362.63125,102643,54.042730047805016,18.58692295228993
168723,7579,1279,none,none,none,none,F10P0306,TP-SqConc,53,,,Concrete,,6006683.3235,2112324.5547,175,MH,Tear Drop,R,5064,,,,,,,,,,,VAN_NESS,AVE,515,500.0,700.0,,,ACTIVE,6.0,Neighborhood),,,1266408060000.0,,,,,,,,,603ef1bb-33d1-4712-931c-5851f4f1b366,1649814105332,shreepad_sfpuc,1649814105332,shreepad_sfpuc,esriGeometryPoint,6006683.32375,2112324.555,102643,53.95895436590472,18.637678793317654
