Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A14006_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A10030_001,SE_A10030_002,SE_A10030_003,SE_A10030_004,SE_A10030_005,SE_A10030_006,SE_A10030_007,PCT_SE_A10030_002,PCT_SE_A10030_003,PCT_SE_A10030_004,PCT_SE_A10030_005,PCT_SE_A10030_006,PCT_SE_A10030_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A14010_001
"06075012100","Census Tract 121, San Francisco County, California","ca","140","00",,,,"06","075",,,"012100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012100","Census Tract 121",,,,3250,3250,1626,75,2,935,0,254,358,50.03,2.31,0.06,28.77,0,7.82,11.02,92059,1933,391,313,20.23,16.19,32,0,32,0,100,2080,1535,545,0,0,0,0,73.8,26.2,0,0,0,0,1933,1452,481,0,0,0,0,75.12,24.88,0,0,0,0,2367,312,2055,13.18,86.82,127762
"06075012202","Census Tract 122.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012202","Census Tract 122.02",,,,3017,3017,1178,407,82,765,0,379,206,39.05,13.49,2.72,25.36,0,12.56,6.83,54650,1310,314,379,23.97,28.93,205,15,190,7.32,92.68,1488,1054,414,20,0,0,0,70.83,27.82,1.34,0,0,0,1310,994,296,20,0,0,0,75.88,22.6,1.53,0,0,0,2188,731,1457,33.41,66.59,83750
"06075012203","Census Tract 122.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"012203",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012203","Census Tract 122.03",,,,1895,1895,1150,138,91,341,0,32,143,60.69,7.28,4.8,17.99,0,1.69,7.55,22982,1081,178,370,16.47,34.23,164,98,66,59.76,40.24,1081,876,164,41,0,0,0,81.04,15.17,3.79,0,0,0,1081,876,164,41,0,0,0,81.04,15.17,3.79,0,0,0,1264,591,673,46.76,53.24,
"06075012204","Census Tract 122.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"012204",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012204","Census Tract 122.04",,,,2389,2389,1137,0,18,734,0,56,444,47.59,0,0.75,30.72,0,2.34,18.59,65217,1347,232,268,17.22,19.9,214,52,162,24.3,75.7,1566,1232,303,21,0,0,10,78.67,19.35,1.34,0,0,0.64,1347,1171,155,21,0,0,0,86.93,11.51,1.56,0,0,0,1868,199,1669,10.65,89.35,117519
"06075012301","Census Tract 123.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"012301",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012301","Census Tract 123.01",,,,1766,1766,706,222,21,456,27,250,84,39.98,12.57,1.19,25.82,1.53,14.16,4.76,24284,1283,483,308,37.65,24.01,101,0,101,0,100,1311,1161,139,11,0,0,0,88.56,10.6,0.84,0,0,0,1283,1144,139,0,0,0,0,89.17,10.83,0,0,0,0,1113,398,715,35.76,64.24,68512
"06075012302","Census Tract 123.02, San Francisco County, California","ca","140","00",,,,"06","075",,,"012302",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012302","Census Tract 123.02",,,,2586,2586,1159,189,60,718,0,222,238,44.82,7.31,2.32,27.76,0,8.58,9.2,55741,1886,408,521,21.63,27.62,108,62,46,57.41,42.59,1886,1606,188,62,0,0,30,85.15,9.97,3.29,0,0,1.59,1886,1606,188,62,0,0,30,85.15,9.97,3.29,0,0,1.59,2161,430,1731,19.9,80.1,81375
"06075012403","Census Tract 124.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"012403",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012403","Census Tract 124.03",,,,2696,2696,254,74,38,1435,0,579,316,9.42,2.74,1.41,53.23,0,21.48,11.72,46185,1155,294,180,25.45,15.58,355,20,335,5.63,94.37,1181,833,285,63,0,0,0,70.53,24.13,5.33,0,0,0,1155,833,259,63,0,0,0,72.12,22.42,5.45,0,0,0,1943,267,1676,13.74,86.26,71592
"06075012404","Census Tract 124.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"012404",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012404","Census Tract 124.04",,,,2587,2587,923,185,94,662,0,630,93,35.68,7.15,3.63,25.59,0,24.35,3.59,35074,1499,319,261,21.28,17.41,86,0,86,0,100,1499,1182,236,32,22,0,27,78.85,15.74,2.13,1.47,0,1.8,1499,1182,236,32,22,0,27,78.85,15.74,2.13,1.47,0,1.8,2123,776,1347,36.55,63.45,76196
"06075012405","Census Tract 124.05, San Francisco County, California","ca","140","00",,,,"06","075",,,"012405",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012405","Census Tract 124.05",,,,3878,3878,1444,614,82,715,0,94,929,37.24,15.83,2.11,18.44,0,2.42,23.96,107311,2470,606,358,24.53,14.49,391,67,324,17.14,82.86,2513,1714,670,95,34,0,0,68.21,26.66,3.78,1.35,0,0,2470,1692,670,95,13,0,0,68.5,27.13,3.85,0.53,0,0,3148,358,2790,11.37,88.63,89551
"06075012406","Census Tract 124.06, San Francisco County, California","ca","140","00",,,,"06","075",,,"012406",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075012406","Census Tract 124.06",,,,1358,1358,522,111,0,437,0,231,57,38.44,8.17,0,32.18,0,17.01,4.2,26132,799,359,88,44.93,11.01,0,0,0,,,947,719,214,14,0,0,0,75.92,22.6,1.48,0,0,0,799,648,151,0,0,0,0,81.1,18.9,0,0,0,0,970,237,733,24.43,75.57,
